1| dora| exploratrice| f| 10/4/20| 0123252823
2| bo| epon| m| 11/5/96| 0120589714
1| bob| eponge| m| 3/14/96| 01258714
1| dora| exploratrice| f| 10/4/20| 0123252823
2| bo| epon| m| 11/5/96| 0120589714
1| bob| eponge| m| 3/14/96| 01258714
1| dora| exploratrice| f| 10/4/20| 0123252823
2| bo| epon| m| 11/5/96| 0120589714
1| bob| eponge| m| 3/14/96| 01258714
1| dora| exploratrice| f| 10/4/20| 0123252823
2| bo| epon| m| 11/5/96| 0120589714
1| bob| eponge| m| 3/14/96| 01258714
3| fee| boni| f| 11/3/85| 0125262415
1| dora| exploratrice| f| 10/4/20| 0123252823
2| bo| epon| m| 11/5/96| 0120589714
1| bob| eponge| m| 3/14/96| 01258714
1| dora| exploratrice| f| 10/4/20| 0123252823
2| bo| epon| m| 11/5/96| 0120589714
1| bob| eponge| m| 3/14/96| 01258714
3| fee| boni| f| 11/3/85| 0125262415
